               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.022398,            0.016918,          0.00033771,             0.98972,             0.99703,              0.9949,             0.77254,            0.013387,           0.0099858,          0.00011836,            0.002575,            0.002575,            0.002575
                  77,            0.023019,            0.015706,          0.00040564,             0.99261,             0.99658,             0.99456,             0.77614,            0.012701,           0.0099849,          0.00011376,            0.002476,            0.002476,            0.002476
                  78,             0.02175,            0.015809,          0.00053983,             0.99263,             0.99658,             0.99466,             0.76235,            0.014081,           0.0099908,          0.00010175,            0.002377,            0.002377,            0.002377
                  79,            0.022264,            0.015887,          0.00061051,              0.9929,             0.99658,             0.99453,             0.77084,            0.013331,            0.010353,          0.00010114,            0.002278,            0.002278,            0.002278
                  80,             0.02221,            0.016703,          0.00042501,             0.98964,             0.99692,             0.99437,             0.77484,            0.012855,             0.01005,           9.398e-05,            0.002179,            0.002179,            0.002179
                  81,            0.021774,            0.017466,          0.00052374,             0.98973,             0.99729,             0.99453,             0.77903,            0.012716,           0.0098754,          9.5338e-05,             0.00208,             0.00208,             0.00208
                  82,            0.021652,            0.016354,          0.00039835,             0.99112,             0.99658,             0.99433,             0.77251,            0.013033,            0.010001,          0.00010059,            0.001981,            0.001981,            0.001981
                  83,            0.021817,            0.016615,          0.00032649,             0.99206,             0.99658,             0.99464,             0.78497,            0.011774,           0.0098784,          9.5429e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021754,            0.015758,          0.00040951,             0.99256,             0.99658,             0.99464,             0.78421,            0.011804,           0.0098823,          9.8478e-05,            0.001783,            0.001783,            0.001783
                  85,            0.020543,            0.016235,          0.00024882,             0.99252,             0.99658,             0.99474,             0.78132,            0.011684,            0.009915,          9.4651e-05,            0.001684,            0.001684,            0.001684
                  86,            0.021097,            0.015739,          0.00025765,             0.99263,             0.99658,             0.99464,             0.78492,            0.011521,           0.0098457,          8.8168e-05,            0.001585,            0.001585,            0.001585
                  87,            0.021015,            0.016531,          0.00043027,             0.99257,             0.99658,             0.99474,             0.78299,             0.01196,           0.0099517,          8.5459e-05,            0.001486,            0.001486,            0.001486
                  88,            0.020614,            0.015601,          0.00039809,             0.99244,             0.99658,             0.99487,             0.78016,            0.012456,           0.0099449,          8.6585e-05,            0.001387,            0.001387,            0.001387
