               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024752,            0.017936,           0.0028868,             0.93208,             0.96356,             0.96191,             0.58483,            0.027957,            0.011176,          0.00034472,            0.004753,            0.004753,            0.004753
                  55,            0.024583,            0.017777,            0.003007,             0.93176,             0.96533,             0.95418,             0.56659,            0.028876,            0.011283,          0.00040842,            0.004654,            0.004654,            0.004654
                  56,            0.024354,            0.017877,           0.0028315,              0.9317,             0.95959,             0.95593,             0.58005,            0.027791,            0.011124,          0.00026975,            0.004555,            0.004555,            0.004555
                  57,            0.024303,            0.017713,           0.0026745,             0.92756,             0.96723,             0.95996,              0.5927,            0.027798,            0.011208,           0.0002939,            0.004456,            0.004456,            0.004456
                  58,            0.023867,            0.017486,           0.0024137,             0.93062,             0.96811,             0.96082,             0.60087,            0.027713,            0.011119,          0.00028913,            0.004357,            0.004357,            0.004357
                  59,            0.023725,            0.017497,           0.0024639,             0.92813,             0.96986,             0.95811,             0.59837,            0.027606,            0.011139,          0.00029609,            0.004258,            0.004258,            0.004258
                  60,            0.023965,            0.017637,           0.0024403,             0.92931,             0.96793,             0.96011,              0.6007,            0.027545,            0.011118,          0.00028702,            0.004159,            0.004159,            0.004159
                  61,            0.023788,            0.017582,           0.0023542,             0.92936,             0.96466,             0.95901,             0.59735,            0.027619,            0.011162,          0.00031668,             0.00406,             0.00406,             0.00406
                  62,            0.023535,            0.017379,           0.0023174,             0.92753,               0.959,             0.96044,               0.599,            0.027619,            0.011213,          0.00030471,            0.003961,            0.003961,            0.003961
                  63,             0.02348,            0.017548,           0.0023288,             0.92717,             0.96429,              0.9613,             0.59932,            0.027922,            0.011242,          0.00033055,            0.003862,            0.003862,            0.003862
                  64,            0.023256,            0.017396,           0.0023066,             0.93184,             0.96284,             0.96055,             0.59267,            0.028001,            0.011168,          0.00028502,            0.003763,            0.003763,            0.003763
                  65,            0.023433,            0.017306,           0.0024185,             0.93102,             0.96581,             0.96241,             0.59785,            0.027248,            0.011195,          0.00026877,            0.003664,            0.003664,            0.003664
                  66,             0.02318,            0.017138,           0.0021685,             0.93493,             0.96028,             0.96389,             0.59806,            0.027298,            0.011207,            0.000291,            0.003565,            0.003565,            0.003565
                  67,            0.023038,            0.017271,           0.0022561,             0.92598,             0.97133,              0.9623,             0.60235,            0.027248,            0.011146,          0.00029401,            0.003466,            0.003466,            0.003466
                  68,            0.022775,            0.017161,           0.0022009,              0.9303,             0.96954,             0.96168,             0.60969,            0.027242,            0.011067,          0.00027809,            0.003367,            0.003367,            0.003367
                  69,            0.022656,            0.017081,           0.0021549,             0.93231,             0.96579,             0.96097,             0.61115,            0.027241,            0.011064,          0.00026289,            0.003268,            0.003268,            0.003268
                  70,            0.022686,             0.01698,           0.0019909,              0.9384,             0.97015,             0.96192,             0.60734,            0.027091,            0.011059,          0.00026356,            0.003169,            0.003169,            0.003169
                  71,            0.022505,            0.017024,           0.0020968,             0.93865,             0.96636,             0.96436,             0.60573,            0.027222,            0.011093,          0.00027562,             0.00307,             0.00307,             0.00307
